show_id,type,title,director.1,director.2,director.3,Column1,cast.1,cast.2,cast.3,cast.4,cast.5,cast.6,cast.7,cast.8,cast.9,cast.10,cast.11,cast.12,cast.13,cast.14,cast.15,cast.16,cast.17,cast.18,cast.19,cast.20,cast.21,cast.22,cast.23,cast.24,cast.25,cast.26,cast.27,cast.28,cast.29,cast.30,cast.31,cast.32,cast.33,cast.34,cast.35,cast.36,Length,country,date_added,release_year,rating,duration,listed_in.1,listed_in.2,listed_in.3
s3452,Movie,Kids on the Block,Tugçe Soysop,,,,Selim Bayraktar, Berat Efe Parlar, Esat Polat Güler, Eda Dö?er, Dora Dalg?ç, Taha Sönmezisik, Zeynep Ilgin Çelik, Arda Ta?arcan, Alperen Efe Esmer, ?lknur Külahl?oglu, ?kra Külahl?o?lu,,,,,,,,,,,,,,,,,,,,,,,,,,184,Turkey,2019-10-04,2019,TV-PG,102 min,Children & Family Movies, Comedies,
s4304,Movie,Vanjagar Ulagam,Manoj Beedha,,,,Guru Somasundaram, Cibi Bhuvana Chandran, Vishagan Vanangamudi, Anisha Ambrose, Chandini Tamilarasan, Azhagamperumal, John Vijay, Vasu Vikram, Hareesh Peradi, Jayaprakash Radhakrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,184,India,2018-12-15,2018,TV-MA,145 min,Dramas, International Movies, Thrillers
s5473,Movie,Raees,Rahul Dholakia,,,,Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui, Mohammed Zeeshan Ayyub, Sheeba Chaddha, Shubham Chintamani, Shubham Tukaram, Atul Kulkarni, Narendra Jha, Jaideep Ahlawat, Sunny Leone,,,,,,,,,,,,,,,,,,,,,,,,,,184,India,2017-05-26,2017,TV-14,143 min,Action & Adventure, Dramas, International Movies
s6658,Movie,Earth to Echo,Dave Green,,,,Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman,,,,,,,,,,,,,,,,,,,,,,,,,184,United States,2019-10-01,2014,PG,91 min,Children & Family Movies, Sci-Fi & Fantasy,
s7175,Movie,Kay Dyache Bola,Chandrakant Kulkarni,,,,Makarand Anaspure, Akshay Pendse, Umesh Kamat, Sharvari Jamenis, Sachin Khedekar, Arun Nalawade, Mohan Agashe, Nirmiti Sawant, Sanjay Mone, Amita Khopkar, Pushkar Shrotri, Ganesh Yadav,,,,,,,,,,,,,,,,,,,,,,,,,184,India,2018-01-01,2005,TV-14,133 min,Comedies, Dramas, International Movies
s8260,Movie,The Crow,Alex Proyas,,,,Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott, Bai Ling, Sofia Shinas, Anna Levine, David Patrick Kelly, Angel David, Laurence Mason, Michael Massee, Tony Todd, Jon Polito,,,,,,,,,,,,,,,,,,,,,,,,184,United States,2019-01-01,1994,R,102 min,Action & Adventure, Cult Movies, Sci-Fi & Fantasy
s8615,Movie,Trainspotting,Danny Boyle,,,,Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler, Pauline Lynch, Shirley Henderson,,,,,,,,,,,,,,,,,,,,,,,,,184,United Kingdom,2019-10-01,1996,R,94 min,Comedies, Cult Movies, Dramas
s559,Movie,6 Bullets,Ernie Barbarash,,,,Jean-Claude Van Damme, Joe Flanigan, Anna-Louise Plowman, Charlotte Beaumont, Steve Nicolson, Uriel Emil, Louis Dempsey, Mark Lewis, Kristopher Van Varenberg, Bianca Brigitte VanDamme,,,,,,,,,,,,,,,,,,,,,,,,,,,183,United States,2021-07-01,2012,R,115 min,Action & Adventure,,
s1277,Movie,M8 - When Death Rescues Life,Jeferson De,,,,Juan Paiva, Mariana Nunes, Giulia Gayoso, Bruno Peixoto, Fábio Beltrão, Zezé Motta, Malu Valle, Dhu Moraes, Henri Pagnoncelli, Pietro Mario, Alan Rocha, Higor Campagnaro, Aliton Graça,,,,,,,,,,,,,,,,,,,,,,,,183,,2021-02-24,2019,TV-MA,84 min,Dramas, International Movies,
s2468,Movie,I'm No Longer Here,Fernando Frías de la Parra,,,,Juan Daniel García, Angelina Chen, Jonathan Espinoza, Coral Puente, Tania Alvarado, Fanny Tovar, Luis Leonardo Zapata, Yahir Alday, Leonardo Garza, Yocelin Coronado, Deyanira Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,183,"Mexico, United States",2020-05-27,2019,TV-MA,112 min,Dramas, Independent Movies, International Movies
