Id,0,Degree
Kohsuke Toriumi,cast,2
Yoichi Masukawa,cast,6
Koichi Tochika,cast,4
Yukari Tamura,cast,4
Naruto Shippuden: The Movie,movie,22
Ayumi Fujimura,cast,2
Keisuke Oda,cast,2
Daisuke Kishio,cast,2
Fumiko Orikasa,cast,9
Hidetoshi Nakamura,cast,2
Tetsuya Kakihara,cast,2
Kisho Taniyama,cast,2
Miyuki Sawashiro,cast,9
Katsuyuki Konishi,cast,2
Keiko Nemoto,cast,4
Masashi Ebara,cast,2
Romi Park,cast,4
Daisuke Ono,cast,11
Seizo Kato,cast,2
Naruto Shippuden: The Movie: The Lost Tower,movie,15
Nobuaki Fukuda,cast,2
Kenji Hamada,cast,2
Saori Hayami,cast,9
Yumi Toma,cast,2
Yuko Kobayashi,cast,2
Fujiko Takimoto,cast,2
Mutsumi Tamura,cast,2
Mayuki Makiguchi,cast,2
Naruto the Movie 2: Legend of the Stone of Gelel,movie,11
Hirotsugu Kawasaki,director,11
Gamon Kaai,cast,2
Akira Ishida,cast,6
Yasuyuki Kase,cast,2
Urara Takano,cast,2
Sachiko Kojima,cast,2
Takako Honda,cast,2
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,movie,11
Toshiyuki Tsuru,director,11
Kyousuke Ikeda,cast,2
Marika Hayashi,cast,2
Umeji Sasaki,cast,2
Masashi Sugawara,cast,2
Hisao Egawa,cast,2
Naruto the Movie: Ninja Clash in the Land of Snow,movie,11
Tensai Okamura,director,11
Yuhko Kaida,cast,2
Tsutomu Isobe,cast,2
Hirotaka Suzuoki,cast,8
Jun Karasawa,cast,2
Harii Kaneko,cast,2
Ikuo Nishikawa,cast,2
Nightbooks,movie,4
David Yarovesky,director,4
Winslow Fegley,cast,2
Lidya Jewett,cast,4
Krysten Ritter,cast,6
Schumacher,movie,4
Hanns-Bruno Kammertöns,director,2
Vanessa Nöcker,director,2
Michael Wech,director,2
Michael Schumacher,cast,4
A StoryBots Space Adventure,movie,10
David A. Vargas,director,10
Evan Spiridellis,cast,13
Erin Fitzgerald,cast,29
Jeff Gill,cast,13
Fred Tatasciore,cast,37
