Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Taina Elg,Taina Elg,cast,2,0,20,0.125878,0.134597,0
Lucy Avery Brooke,Lucy Avery Brooke,cast,2,0,20,0.125878,0.134597,0
Amber Smith,Amber Smith,cast,2,0,20,0.125878,0.134597,0
The Outlaw Josey Wales,The Outlaw Josey Wales,movie,10,0,19,0.14515,0.158834,0.000001
Sondra Locke,Sondra Locke,cast,2,0,19,0.144867,0.158384,0
Chief Dan George,Chief Dan George,cast,2,0,19,0.144867,0.158384,0
Bill McKinney,Bill McKinney,cast,2,0,19,0.144867,0.158384,0
John Vernon,John Vernon,cast,4,0,19,0.145711,0.159445,0.00057
Paula Trueman,Paula Trueman,cast,2,0,19,0.144867,0.158384,0
Sam Bottoms,Sam Bottoms,cast,2,0,19,0.144867,0.158384,0
Geraldine Keams,Geraldine Keams,cast,2,0,19,0.144867,0.158384,0
Woodrow Parfrey,Woodrow Parfrey,cast,2,0,19,0.144867,0.158384,0
Joyce Jameson,Joyce Jameson,cast,2,0,19,0.144867,0.158384,0
The Wedding Guest,The Wedding Guest,movie,4,0,21,0.138946,0.151895,0.000409
Michael Winterbottom,Michael Winterbottom,director,10,0,20,0.147257,0.161878,0.002925
Jim Sarbh,Jim Sarbh,cast,13,0,21,0.133996,0.14675,0.001125
The Wind,The Wind,movie,6,0,21,0.12357,0.131662,0.000079
Emma Tammi,Emma Tammi,director,6,0,21,0.12357,0.131662,0.000079
Caitlin Gerard,Caitlin Gerard,cast,4,0,20,0.140153,0.151788,0.000218
Julia Goldani Telles,Julia Goldani Telles,cast,2,0,22,0.10998,0.11557,0
Miles Anderson,Miles Anderson,cast,2,0,22,0.10998,0.11557,0
Dylan McTee,Dylan McTee,cast,2,0,22,0.10998,0.11557,0
Then Came You,Then Came You,movie,9,0,19,0.144342,0.15873,0.000105
Peter Hutchings,Peter Hutchings,director,18,0,19,0.147214,0.162464,0.000674
Asa Butterfield,Asa Butterfield,cast,8,0,20,0.153963,0.170175,0.000703
Maisie Williams,Maisie Williams,cast,4,0,20,0.129996,0.140051,0.000027
Nina Dobrev,Nina Dobrev,cast,8,0,18,0.144655,0.158762,0.000143
Tyler Hoechlin,Tyler Hoechlin,cast,2,0,20,0.128324,0.137926,0
Peyton List,Peyton List,cast,3,0,20,0.128325,0.137942,0
Tituss Burgess,Tituss Burgess,cast,9,0,20,0.141812,0.156911,0.000164
Welcome Home,Welcome Home,movie,6,0,19,0.135259,0.144668,0.000355
George Ratliff,George Ratliff,director,6,0,19,0.135259,0.144668,0.000355
Aaron Paul,Aaron Paul,cast,10,0,20,0.144756,0.156915,0.000563
Riccardo Scamarcio,Riccardo Scamarcio,cast,12,0,20,0.129457,0.138246,0.00112
Katy Louise Saunders,Katy Louise Saunders,cast,4,0,18,0.145263,0.156773,0.000397
Alice Bellagamba,Alice Bellagamba,cast,2,0,20,0.119145,0.125374,0
Bo Burnham: Inside,Bo Burnham: Inside,movie,1,0,20,0.123107,0.130716,0
Bo Burnham,Bo Burnham,cast,8,0,19,0.140389,0.152055,0.000129
One Lagos Night,One Lagos Night,movie,10,0,23,0.10338,0.110509,0.000073
Ekene Som Mekwunye,Ekene Som Mekwunye,director,18,0,23,0.105659,0.114157,0.000324
Eniola Badmus,Eniola Badmus,cast,2,0,24,0.095563,0.101301,0
Ogbolor,Ogbolor,cast,2,0,24,0.095563,0.101301,0
Genoveva Umeh,Genoveva Umeh,cast,2,0,24,0.095563,0.101301,0
Ajayi Akorede,Ajayi Akorede,cast,2,0,24,0.095563,0.101301,0
Serge Noujaim,Serge Noujaim,cast,2,0,24,0.095563,0.101301,0
Collateral Beauty,Collateral Beauty,movie,11,0,19,0.159272,0.175702,0.00036
David Frankel,David Frankel,director,11,0,19,0.159272,0.175702,0.00036
Edward Norton,Edward Norton,cast,12,0,18,0.154619,0.170585,0.00048
Keira Knightley,Keira Knightley,cast,9,0,19,0.156665,0.172183,0.000367
Jacob Latimore,Jacob Latimore,cast,10,0,20,0.150494,0.164561,0.000481
Ann Dowd,Ann Dowd,cast,8,0,18,0.148296,0.160948,0.000112
Liza Colón-Zayas,Liza Colón-Zayas,cast,2,0,20,0.137391,0.147484,0
Dog Gone Trouble,Dog Gone Trouble,movie,11,0,19,0.144513,0.157419,0.000256
Kevin Johnson,Kevin Johnson,director,11,0,19,0.144513,0.157419,0.000256
Big Sean,Big Sean,cast,2,0,20,0.126267,0.134582,0
Pamela Adlon,Pamela Adlon,cast,6,0,20,0.138689,0.150201,0.000038
Lucy Hale,Lucy Hale,cast,4,0,20,0.127491,0.136151,0.000039
Marissa Jaret Winokur,Marissa Jaret Winokur,cast,6,0,20,0.134058,0.144767,0.00038
Wilmer Valderrama,Wilmer Valderrama,cast,8,0,20,0.139973,0.151676,0.000136
Seth Rollins,Seth Rollins,cast,2,0,20,0.126267,0.134582,0
Damon Wayans Jr.,Damon Wayans Jr.,cast,4,0,20,0.134833,0.145863,0.000021
Carlos PenaVega,Carlos PenaVega,cast,4,0,20,0.128586,0.137751,0.000103
Blue Miracle,Blue Miracle,movie,13,0,19,0.150896,0.165889,0.000254
Julio Quintana,Julio Quintana,director,13,0,19,0.150896,0.165889,0.000254
Jimmy Gonzales,Jimmy Gonzales,cast,2,0,20,0.131113,0.140559,0
Anthony Gonzalez,Anthony Gonzalez,cast,4,0,20,0.136589,0.147395,0.000024
Nathan Arenas,Nathan Arenas,cast,2,0,20,0.131113,0.140559,0
Miguel Angel Garcia,Miguel Angel Garcia,cast,2,0,20,0.131113,0.140559,0
Isaac Arellanes,Isaac Arellanes,cast,2,0,20,0.131113,0.140559,0
Steve Gutierrez,Steve Gutierrez,cast,2,0,20,0.131113,0.140559,0
Dana Wheeler-Nicholson,Dana Wheeler-Nicholson,cast,4,0,20,0.13595,0.146896,0.000021
Fernanda Urrejola,Fernanda Urrejola,cast,4,0,20,0.134532,0.144434,0.000053
Silverio Palacios,Silverio Palacios,cast,2,0,20,0.131113,0.140559,0
Ghost Lab,Ghost Lab,movie,11,0,1,1,1,0
Paween Purijitpanya,Paween Purijitpanya,director,11,0,1,1,1,0
Thanapob Leeratanakachorn,Thanapob Leeratanakachorn,cast,2,0,2,0.55,0.590909,0
Paris Intarakomalyasut,Paris Intarakomalyasut,cast,2,0,2,0.55,0.590909,0
Nuttanicha Dungwattanawanich,Nuttanicha Dungwattanawanich,cast,2,0,2,0.55,0.590909,0
Suquan Bulakul,Suquan Bulakul,cast,2,0,2,0.55,0.590909,0
Rachanee Siralert,Rachanee Siralert,cast,2,0,2,0.55,0.590909,0
Chaleeda Gilbert,Chaleeda Gilbert,cast,2,0,2,0.55,0.590909,0
Nuttawut Jenmana,Nuttawut Jenmana,cast,2,0,2,0.55,0.590909,0
Alanta Potjes,Alanta Potjes,cast,2,0,2,0.55,0.590909,0
Anchuleeon Buagaew,Anchuleeon Buagaew,cast,2,0,2,0.55,0.590909,0
Jinjuta Rattanaburi,Jinjuta Rattanaburi,cast,2,0,2,0.55,0.590909,0
Soy Rada: Serendipity,Soy Rada: Serendipity,movie,2,0,2,0.666667,0.75,0
